Date,General Index,Manufacture of basic metals,Manufacture of beverages,Manufacture of chemicals and chemical products,Manufacture of coke and refined petroleum products,Manufacture of computer electronic and optical products,Manufacture of electrical equipment,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of food products,Manufacture of furniture,Manufacture of leather and related products,Manufacture of machinery and equipment n.e.c.,Manufacture of motor vehicles trailers and semi-trailers,Manufacture of other non-metallic mineral products,Manufacture of other transport equipment,Manufacture of paper and paper products,Manufacture of pharmaceuticals medicinal chemical and botanical products,Manufacture of rubber and plastics products,Manufacture of textiles,Manufacture of tobacco products,Manufacture of wearing apparel,Other manufacturing,Printing and reproduction of recorded media
2013-06-01T00:00:00.000,101.3,104.1,116.2,107.9,104.7,105.6,104.5,94.7,90.1,130.9,115.2,98,98,99.5,94.2,109.3,110.3,112.2,109,119.3,101.9,105.3,102.7
2013-07-01T00:00:00.000,104.7,112.5,87.4,114.3,109.6,121.4,100.6,99.4,94.8,133.5,117.1,102.2,99.2,97,97.6,113.9,119.2,113,113.3,108.5,105.3,106.9,101.1
2013-08-01T00:00:00.000,104.3,113.8,82.7,112.4,112.7,118.6,100.9,101.1,88.9,126.8,103.9,103.7,96.7,90.9,96.3,117,125.9,111.2,117.3,107.2,104,104.5,97.5
2013-09-01T00:00:00.000,105.7,109.8,90.1,115.2,106.6,127.8,131.6,92.5,90.8,143.4,101.8,108.4,97.9,98.5,108,111.6,119.4,112.1,115,114.1,118.7,108.6,101.8
2013-10-01T00:00:00.000,105.7,107.4,94.6,109.8,106.4,136.9,150.3,103.8,100.4,138.1,105.5,103.2,98.4,100.4,116.8,114.8,109.4,108.7,116.2,112,106.6,98.5,116
2013-11-01T00:00:00.000,101.9,108.8,83.6,105,102.1,96.7,136.1,92.1,97.9,125.8,98.6,94.7,93.9,93.7,106.7,115.5,105.8,104.9,110.2,122.5,95,76.9,95.5
2013-12-01T00:00:00.000,110.9,111.5,88.5,112.6,111.4,107.4,110.9,107.3,123.3,147.1,118.1,112.5,93.1,106.1,104.6,123.1,122.4,116.9,117.1,130.7,122,99.3,109.8
2014-01-01T00:00:00.000,112.3,120.4,98,109.7,110.3,117,101.2,107,129.2,104,122.6,102.2,100,113.2,112.2,120.8,114.8,114.2,114.9,118.6,131.9,120.5,127.5
2014-02-01T00:00:00.000,106.7,115.2,97.9,100.1,104.1,112.4,116.4,109.7,120.1,110.2,112.3,101.1,99.3,106,106.5,111.1,107.6,109.9,107.1,129.1,118.9,113,121.9
2014-03-01T00:00:00.000,118.5,119.7,123.4,111.7,115,133.7,119.4,132.5,127.2,133,120.1,133,106,121.3,111.7,120.7,116.3,124.4,115.6,138.2,147.2,119.4,111.2
2014-04-01T00:00:00.000,106.6,117.9,132.7,101.3,103.3,113,91.3,101.8,102.9,96.1,126.8,90.7,98.4,114.9,101.1,117.2,103.3,138.1,111,132.9,114.7,114.8,89.3
2014-05-01T00:00:00.000,111,127.6,151,110.9,108.1,119,110.7,110.1,97,104.7,132.1,98.1,99,115.2,110,115.8,108.1,115.9,112.4,146.9,118,116.4,97.8
2014-06-01T00:00:00.000,109.7,125.7,122.5,110.9,106.2,114.9,129,109.3,96.1,102.7,123.9,99.8,97.3,109.9,102.3,115.8,113.7,113.8,111.9,131.5,103,100.5,100.1
2014-07-01T00:00:00.000,110.4,126.5,102.7,114.8,103.6,125.3,102.7,115.8,113.1,100.2,124.6,102.6,103.7,110,112.6,118.5,112.3,110.9,120.9,131.9,110.4,114,98.1
2014-08-01T00:00:00.000,108,123.7,94.6,111.4,106.5,128,110.1,95.7,102.6,111.7,109.2,98.1,103,100.9,107.1,117.9,111.2,112.5,126.3,128.9,103.5,89.4,93.7
2014-09-01T00:00:00.000,110.2,119.5,98,110.4,107.6,144.7,152.2,111,97,127.8,117.9,114.9,106.5,105.8,124.7,114.8,115.2,114,117,132,110.3,101.9,105.6
2014-10-01T00:00:00.000,106,123.8,94.4,104.6,111.7,119.7,120.7,92.6,96.7,108.3,101.7,87.8,95,102.5,113,113.1,95.8,109.7,112.7,116.3,92.7,75.6,94.9
2014-11-01T00:00:00.000,109.4,123.8,87.9,109.2,112,102.5,139.2,99.1,110.4,113.7,117.5,98.3,105,99,112.6,109.7,108.6,118.9,114.4,128,102.2,74.3,102.9
2014-12-01T00:00:00.000,115.3,124.1,89.8,111.7,116.1,95.6,139.1,112.1,136.1,125.4,128.7,105.3,97.1,111.4,105.6,114.4,123.6,121.1,117.8,145.6,123.7,121.7,118
2015-01-01T00:00:00.000,114.3,128.3,92,110.8,113.2,116.7,109.2,98.5,130.4,119.5,128.5,93.4,102.6,112.1,110.3,116.1,127.1,120.1,117.7,124.9,130.9,116.5,94.3
2015-02-01T00:00:00.000,109.9,116.8,105.5,102,103.4,116.2,121.1,101.3,125.4,135.2,132.3,108,105.6,103.9,102.8,109.9,132.5,114,113.3,132.8,125.8,108.7,94.2
2015-03-01T00:00:00.000,121.3,124.1,127.3,112,111.8,116,138.8,123.7,122.5,142,133.3,134.2,117.8,113,118,118.5,150.9,123.9,126.8,121.2,137.8,135.1,111.4
2015-04-01T00:00:00.000,107.3,124.1,122.6,107.6,96.8,116.3,112.7,88,109,141.3,127.6,90.5,98.9,108.8,104.7,115.2,117.9,114.4,116.6,129.8,116.1,99.1,95.5
2015-05-01T00:00:00.000,113,126.7,137.2,112.1,115.2,112.8,123.5,87.4,93.4,183.1,126.6,94,100.8,111.6,107.8,116.3,127.8,116.6,118.4,167.4,110.9,102.4,97.4
2015-06-01T00:00:00.000,110.8,124.3,111.1,112.6,113.2,124.8,124.6,96.8,88.4,173.2,126.2,98.7,101.4,109.9,104.2,111.4,123.2,114.7,116.9,138.9,116.7,119.3,109.4
2015-07-01T00:00:00.000,111.8,126.3,90.5,120.6,110.4,126.3,122.9,97.4,88.4,186.1,124,92.8,109.6,106.5,115.2,115.1,117.1,124.7,120.5,145.2,115.8,114.1,103.5
2015-08-01T00:00:00.000,112,124,86.5,112.2,116.6,122,114.1,96.8,92.8,152.3,113.7,106.7,101,103,110.3,112.8,125.5,121.1,122.9,145,104.4,136.1,105.4
2015-09-01T00:00:00.000,112.6,118.6,92.4,116.7,106.1,145.1,133.5,107.2,95.6,156.6,113.6,123.8,103.2,102.7,121.5,116.8,125,120.3,123.7,123.8,105.5,124.8,111.5
2015-10-01T00:00:00.000,115.5,119,100,115.6,107.8,148.5,143.2,108.9,97.8,152.9,112.4,106.9,100.6,108.8,125.3,123.4,136.9,116.2,123,122.9,133.3,127.9,103.9
2015-11-01T00:00:00.000,110.3,115.1,95.2,106.1,116.7,107.9,132.3,102.3,102.9,137.9,106.3,97.6,91.8,99.8,105,113.7,147.1,109.7,111,107.6,120.9,108.8,93.9
2015-12-01T00:00:00.000,118.9,121.7,104.7,115.2,118.3,116.2,146.3,110.3,128.3,159.9,128.4,110.7,98.3,113,105.7,122,153.2,119.9,120.8,119.1,160.3,115.2,109.9
2016-01-01T00:00:00.000,118.9,126.8,129.5,114.4,121.8,120.7,121.9,111.4,126.5,160.5,132.7,101.7,98.5,119.3,111.6,113.2,136.8,120,121.1,132,145.6,128.9,101.9
2016-02-01T00:00:00.000,117.8,126.1,113.2,110.8,114.5,121.6,127.7,113.9,120.3,161.4,139.8,108.6,101.9,117.9,115.8,113.8,133.7,118,116.7,159,149.1,127,103.6
2016-03-01T00:00:00.000,127.6,138.7,133.9,120.4,126.7,120.6,138.2,120.2,112.7,201.1,131.4,139,106.8,123.5,122.4,123.9,141.4,123.9,120.9,144.9,193.2,134.6,110.2
2016-04-01T00:00:00.000,113.7,122.4,133.8,109.6,114.7,116.1,116.9,102.4,95.1,178.2,128.9,98.6,99.8,113.3,115.3,112.6,139.4,117.2,114.3,62.5,150.7,130.5,102.6
2016-05-01T00:00:00.000,121.3,134.6,140.8,119.8,117.3,120.3,125.4,110.3,90.6,167.1,130.6,108.1,104.1,115.9,122.5,122,176.9,121.9,120.6,107.9,166.8,104.2,102
2016-06-01T00:00:00.000,119.7,131,111,117.4,118.9,126.9,120.6,114,91.6,161.2,129.6,119,101.5,119.9,117.6,117.5,160.6,120.5,120,125,153.3,114.4,107.4
2016-07-01T00:00:00.000,116.8,126.6,96.1,119.1,123.3,124.8,111.5,101.7,92.6,156.5,126.9,110.5,102,109.8,118.2,121.1,167.2,120.2,119.4,121.6,144.5,112.2,103.4
2016-08-01T00:00:00.000,116.5,133.7,97.7,119.5,117.7,132.3,115,100.6,89.1,172.9,123.4,105,101.3,107.1,129.7,119,168.7,117.8,119.5,117.6,147.5,112.4,108.2
2016-09-01T00:00:00.000,118.2,129.8,98.3,116.9,111.8,149.3,141,104.8,92.1,176,123.8,113.8,101.3,108.1,143.3,115.5,168.9,124.9,119.3,123.4,142.3,145.7,103.7
2016-10-01T00:00:00.000,120.3,130.7,98.1,117.1,124,138.8,138.7,95.2,96.2,176.2,110,108,100.9,111.8,130.8,112.3,162.9,126.5,116.3,126.4,140.4,130.6,101.9
2016-11-01T00:00:00.000,115.9,120.7,91.1,111.1,117.2,113.9,129.2,98.6,103.2,196.3,110.5,112.4,102,101,110.4,105.4,160.6,119.4,114,104.7,127,102.8,106
2016-12-01T00:00:00.000,121.7,133.2,95.2,112.8,124.3,106.5,129.9,111.3,118.2,182.6,107.8,114.4,90.9,103.8,83.6,111.4,172.6,122.9,114,118.4,159.6,121.7,118.9
